timestamp,BTC/USD,ETH/USD,UNI/USD,LINK/USD,DOGE/USD,LTC/USD,AAVE/USD,BCH/USD,DOT/USD,AVAX/USD,SHIB/USD
2023-09-04 00:00:00+00:00,25683.9295,1621.435,4.32143,5.97253,0.0635,63.2845,54.5247,192.355,4.234795,9.75196,7.5e-06
2023-09-05 00:00:00+00:00,25748.585,1629.675,4.363705,6.1695,0.0638615,63.0135,55.16,192.47,4.243665,9.8786,7.62e-06
2023-09-06 00:00:00+00:00,25801.6505,1638.648,4.46575,6.339995,0.0635825,62.9281,55.33935,192.298,4.26627,9.9445,7.67e-06
2023-09-07 00:00:00+00:00,26329.2735,1650.044,4.457455,6.3511,0.063815,63.662,56.577,196.087,4.3094,10.0908,7.67e-06
2023-09-08 00:00:00+00:00,25862.37,1632.974,4.35991,6.26985,0.06350105,62.772,56.5215,191.99,4.25735,9.8914,7.6e-06
2023-09-09 00:00:00+00:00,25826.39,1625.0465,4.2155,6.05354,0.06174165,61.6785,54.551,187.536,4.164575,9.3878,7.405e-06
2023-09-10 00:00:00+00:00,25765.7065,1611.145,4.2168,5.9982,0.0612275,61.14025,53.759,189.696,4.12173,9.455465,7.31e-06
2023-09-11 00:00:00+00:00,25744.0,1581.4475,4.170845,5.904615,0.061219,59.76225,53.175,190.7035,4.013885,9.3499,7.19e-06
2023-09-12 00:00:00+00:00,25920.63,1590.65,4.212,5.9824,0.0607996,59.9144,53.1996,198.445,3.978375,9.2048,7.19e-06
2023-09-13 00:00:00+00:00,26219.0,1616.063,4.262,6.01705,0.061173,62.235,53.61,200.0765,3.9935,9.30406,7.25e-06
2023-09-14 00:00:00+00:00,26653.6,1634.175,4.309665,6.2088,0.0621525,63.27895,54.82,217.685,4.091,9.434785,7.44e-06
2023-09-15 00:00:00+00:00,26563.0595,1638.7,4.3774,6.314,0.0623165,66.1215,60.5105,218.5625,4.21995,9.54394,7.52e-06
2023-09-16 00:00:00+00:00,26556.33,1631.4175,4.331275,6.24315,0.0622225,63.99,60.04695,212.43,4.13609,9.294475,7.34e-06
2023-09-17 00:00:00+00:00,26631.7685,1630.6985,4.3293,6.5906,0.06172155,64.687,60.465,214.602,4.12037,9.097395,7.29e-06
2023-09-18 00:00:00+00:00,26859.49,1637.83,4.39851,6.85899,0.0624898,67.0225,61.764,218.68,4.11665,9.163805,7.31e-06
2023-09-19 00:00:00+00:00,27084.11,1636.4,4.40256,6.8917,0.06237475,66.64745,61.705,216.336,4.1245,9.0897,7.39e-06
2023-09-20 00:00:00+00:00,27094.0605,1624.29,4.36127,6.825705,0.06300115,64.704,65.038,214.0505,4.1502,9.07715,7.445e-06
2023-09-21 00:00:00+00:00,26645.1,1594.26,4.239075,6.669515,0.06159965,64.9471,63.7695,208.8025,4.024195,8.8855,7.29e-06
2023-09-22 00:00:00+00:00,26548.4,1592.2695,4.255,6.996625,0.0616512,64.77945,64.0284,207.665,4.0125,8.8693,7.4e-06
2023-09-23 00:00:00+00:00,26569.6725,1592.545,4.26565,7.1666,0.0615265,64.68155,62.7898,209.02,4.012775,8.899355,7.375e-06
2023-09-24 00:00:00+00:00,26142.1675,1578.5455,4.24475,7.1872,0.0608928,64.3731,62.0586,205.9645,4.00538,8.804925,7.36e-06
2023-09-25 00:00:00+00:00,26339.205,1591.1,4.30072,7.491385,0.061014,64.6275,61.61295,211.859,4.050295,9.00115,7.32e-06
2023-09-26 00:00:00+00:00,26231.4075,1591.51,4.28725,7.38419,0.060631,63.8825,60.9352,214.0365,3.9975,9.03655,7.25e-06
2023-09-27 00:00:00+00:00,26426.6,1607.971,4.26634,7.59225,0.0604885,63.391,60.893,232.1235,3.99048,8.988,7.23e-06
2023-09-28 00:00:00+00:00,26973.325,1653.5,4.42547,7.76555,0.06157,65.2745,66.5015,236.53,4.079325,9.30931,7.34e-06
2023-09-29 00:00:00+00:00,26925.5705,1670.3505,4.426285,8.0045,0.06186485,65.4964,66.5364,233.61,4.0795,9.159,7.32e-06
2023-09-30 00:00:00+00:00,27046.31,1675.652,4.45536,8.12023,0.06199,65.964,67.60375,237.145,4.11763,9.32185,7.4e-06
2023-10-01 00:00:00+00:00,28070.7,1726.847,4.62723,7.867,0.063174,67.4685,70.7367,242.596,4.2527,9.731015,7.56e-06
2023-10-02 00:00:00+00:00,27628.5995,1667.4585,4.49426,7.60022,0.0622315,66.274,69.605,242.92,4.1463,9.305865,7.305e-06
2023-10-03 00:00:00+00:00,27392.37,1639.3265,4.29935,7.51575,0.0607679,64.1785,64.3408,229.5185,4.0115,9.332,7.17e-06
2023-10-04 00:00:00+00:00,27700.24,1645.145,4.29608,7.6465,0.06112795,64.69575,67.979,231.1375,4.044825,10.0325,7.24e-06
2023-10-05 00:00:00+00:00,27526.4225,1623.105,4.3158,7.5206,0.06102195,65.1252,67.05955,229.0015,4.035415,10.3754,7.16e-06
2023-10-06 00:00:00+00:00,27934.147,1641.665,4.39282,7.619425,0.06152,65.94475,66.9517,230.3345,4.07982,11.126,7.25e-06
2023-10-07 00:00:00+00:00,27950.1765,1634.8,4.3607,7.623255,0.06140325,65.772,66.779,230.911,4.059,10.401,7.24e-06
2023-10-08 00:00:00+00:00,27943.19,1633.555,4.35215,7.635,0.060825,65.1465,65.9507,228.87,4.019995,9.9595,7.19e-06
2023-10-09 00:00:00+00:00,27602.215,1583.97,4.1169,7.28412,0.05891,63.3067,63.86725,218.3155,3.835,9.56205,6.945e-06
2023-10-10 00:00:00+00:00,27125.933,1560.1945,4.11125,7.208195,0.05903455,62.7916,63.38945,211.87,3.76305,9.339,6.85e-06
2023-10-11 00:00:00+00:00,26820.3685,1560.905,4.11535,7.3375,0.05823495,61.1944,63.1535,213.77,3.71456,9.17521,6.78e-06
2023-10-12 00:00:00+00:00,26797.2245,1540.805,4.00615,7.15465,0.0578668,61.31545,63.216,212.1745,3.675,9.153335,6.78e-06
2023-10-13 00:00:00+00:00,26908.9,1552.52,4.050305,7.28113,0.0585924,61.57685,64.26575,217.1215,3.736,9.2182,6.96e-06
2023-10-14 00:00:00+00:00,26884.967,1554.8345,4.11767,7.33445,0.0594407,61.6295,64.39825,214.525,3.7221,9.15505,7.04e-06
2023-10-15 00:00:00+00:00,27259.015,1562.462,4.1357,7.4417,0.0593244,61.7411,64.3515,217.7515,3.75678,9.35875,7.065e-06
2023-10-16 00:00:00+00:00,28203.8505,1589.1,4.10435,7.476925,0.059936,63.1401,64.2337,227.7,3.749,9.3196,7.09e-06
2023-10-17 00:00:00+00:00,28731.8835,1572.912,3.906985,7.386895,0.0590759,62.4655,63.3195,230.992,3.685435,9.155,6.93e-06
2023-10-18 00:00:00+00:00,28292.347,1550.756,3.904455,7.31155,0.0582479,60.4955,61.77,226.983,3.620355,8.82645,6.72e-06
2023-10-19 00:00:00+00:00,29339.16,1583.941,3.99515,7.4715,0.0594035,62.55605,64.63135,238.4095,3.712,9.2425,6.93e-06
2023-10-20 00:00:00+00:00,29571.9,1598.95,3.975,7.61555,0.0598783,63.779,66.2369,241.0955,3.733685,9.2253,6.93e-06
2023-10-21 00:00:00+00:00,29965.688,1635.1,4.17425,9.49765,0.061235,64.94735,73.3972,248.135,3.896415,9.6755,7.07e-06
2023-10-22 00:00:00+00:00,30693.226,1696.6,4.33595,10.885,0.0630535335,66.315,79.883,249.47,4.05321,10.28295,7.24e-06
2023-10-23 00:00:00+00:00,34444.3035,1823.7535,4.382835,10.2659,0.067992,70.26495,85.10545,260.805,4.34835,10.553,7.515e-06
2023-10-24 00:00:00+00:00,34205.405,1794.572,4.307235,11.5255,0.0661735,69.7157,83.7468,254.3,4.23935,10.5064,7.45e-06
2023-10-25 00:00:00+00:00,34701.289,1808.455,4.26878,11.1529,0.07124205,69.583,85.3129,254.635,4.339475,11.1075,8.03e-06
2023-10-26 00:00:00+00:00,34109.1,1794.99,4.082935,10.994,0.0711773,68.1135,79.81,244.1725,4.17668,10.77295,7.85e-06
2023-10-27 00:00:00+00:00,34086.071,1790.096,4.104,11.4775,0.06875365,68.2015,80.2832,243.755,4.19177,10.77825,7.76e-06
2023-10-28 00:00:00+00:00,34020.1495,1777.8,4.09192,10.885,0.0684553155,67.3841,80.3575,245.25,4.17175,10.8356,7.86e-06
2023-10-29 00:00:00+00:00,34335.615,1786.3365,4.15021,11.1048,0.06883855,68.41045,83.83395,244.4145,4.28672,11.1775,7.93e-06
2023-10-30 00:00:00+00:00,34254.7325,1800.445,4.17169,11.619,0.0690705,68.855,81.6645,244.469,4.4713,11.47595,7.92e-06
2023-10-31 00:00:00+00:00,34436.7325,1809.3715,4.11815,11.18845,0.0673762,68.1686,81.8654,242.8975,4.4185,11.195,7.715e-06
2023-11-01 00:00:00+00:00,35489.5,1852.323,4.691365,11.5407,0.069112,70.0168,99.96,247.175,4.6989,12.1769,7.995e-06
2023-11-02 00:00:00+00:00,34398.6445,1790.89,4.5875,10.7445,0.067006,68.6325,89.7445,236.751,4.4867,11.57635,7.72e-06
2023-11-03 00:00:00+00:00,34685.286,1830.291,4.721755,11.27115,0.0684999,69.37865,89.14055,237.615,4.624,12.0595,7.84e-06
2023-11-04 00:00:00+00:00,35177.965,1884.359,4.8665,12.343,0.0697652,71.33885,90.1721,241.276,4.778095,12.3176,8.02e-06
2023-11-05 00:00:00+00:00,34848.391,1875.25,4.71575,12.462,0.070772,71.20545,88.689,236.865,4.7206,12.4,8.06e-06
2023-11-06 00:00:00+00:00,34913.7825,1894.395,5.0355,13.1085,0.0748,73.4656,102.16,241.0,4.997,12.96275,8.36e-06
2023-11-07 00:00:00+00:00,35280.065,1879.985,4.94705,13.4615,0.07350245,72.67415,95.94,242.55,4.890315,12.75205,8.18e-06
2023-11-08 00:00:00+00:00,36581.82,1919.11,5.20445,14.5666,0.076239,74.099,106.2,250.6405,5.1249,13.2525,8.585e-06
2023-11-09 00:00:00+00:00,36745.225,2123.9205,5.22906,14.4397,0.0745574,74.04595,99.5498,241.405,5.147345,13.3177,8.41e-06
2023-11-10 00:00:00+00:00,37106.4445,2055.405,5.31503,15.0465,0.07888,72.465,96.1635,236.18,5.2359,14.2936,9.125e-06
2023-11-11 00:00:00+00:00,37115.8305,2053.0475,5.3424,15.86385,0.07818175,74.77235,96.063,236.288,5.531,16.8555,9.02e-06
2023-11-12 00:00:00+00:00,36945.4265,2041.325,5.36519,15.4011,0.0770045,73.7225,97.3465,234.895,5.615395,18.275,8.86e-06
2023-11-13 00:00:00+00:00,36642.8975,2064.242,5.285515,14.831,0.0752355,72.1844,94.615,238.19,5.4702,17.0175,8.63e-06
2023-11-14 00:00:00+00:00,35613.1065,1984.4025,5.1939,14.57865,0.0732175,71.53665,92.484,231.948,5.2936,17.937,8.45e-06
2023-11-15 00:00:00+00:00,37464.565,2058.128,5.5334,14.87,0.0767918,73.71,97.7745,238.5385,5.574045,22.371,8.765e-06
2023-11-16 00:00:00+00:00,36345.5875,1977.506,5.324,13.9705,0.0820487,70.1274,92.18235,232.8195,5.467,23.4906,8.725e-06
2023-11-17 00:00:00+00:00,36355.6455,1933.405,4.92725,13.2544,0.0829795,68.5965,85.3,224.5,5.0904,20.73915,8.535e-06
2023-11-18 00:00:00+00:00,36532.5715,1957.9145,5.054,14.23685,0.078264,69.515,88.1035,227.72,5.266,21.26235,8.475e-06
2023-11-19 00:00:00+00:00,37156.3755,2000.194,5.17822,14.9795,0.080353,70.14235,90.8235,228.665,5.4056,22.384,8.62e-06
2023-11-20 00:00:00+00:00,37381.68,2014.698,5.1905,14.2605,0.07690665,69.766,89.96335,227.095,5.232545,20.6841,8.4e-06
2023-11-21 00:00:00+00:00,36374.552,1984.771,5.21222,14.0795,0.07413455,67.5376,88.7749,219.5175,5.025075,20.03605,8e-06
2023-11-22 00:00:00+00:00,37347.745,2063.9125,6.14221,14.617,0.07594955,68.9585,96.095,225.19,5.16818,20.975,8.125e-06
2023-11-23 00:00:00+00:00,37435.16,2072.115,6.2054,14.40455,0.07705055,69.59555,97.0254,225.7765,5.175,20.93645,8.18e-06
2023-11-24 00:00:00+00:00,37829.915,2084.946,6.1895,14.7184,0.078584,71.39875,98.3915,228.05,5.27515,21.2233,8.3e-06
2023-11-25 00:00:00+00:00,37799.6705,2082.755,6.14535,15.0015,0.0786062,71.42375,102.855,229.695,5.39694,21.39255,8.4e-06
2023-11-26 00:00:00+00:00,37315.11,2048.4245,6.087755,14.66,0.0806377,69.798,96.47955,225.5975,5.279635,20.7615,8.365e-06
2023-11-27 00:00:00+00:00,36932.942,1998.995,6.234825,13.8302,0.07688955,68.1543,93.60715,220.171,5.176605,19.61575,8.05e-06
2023-11-28 00:00:00+00:00,38050.7345,2053.8105,6.31748,14.59015,0.080879,69.7295,97.3141,223.416,5.27374,20.9267,8.34e-06
2023-11-29 00:00:00+00:00,37896.285,2034.2215,5.908635,14.46715,0.0813445,69.7469,96.1645,222.4685,5.15517,21.2271,8.22e-06
2023-11-30 00:00:00+00:00,38142.244,2093.1625,6.00545,14.5799,0.084058,70.1949,99.85,222.95,5.4745,22.1835,8.325e-06
2023-12-01 00:00:00+00:00,38779.775,2095.7265,6.078505,15.33855,0.084418,71.9649,101.184,226.005,5.47515,22.0255,8.38e-06
2023-12-02 00:00:00+00:00,39435.34,2161.55,6.118185,16.0,0.0854392,71.8101,103.858,229.6565,5.5411,22.165,8.495e-06
2023-12-03 00:00:00+00:00,41522.473,2245.6695,6.16605,16.12325,0.0900438,74.00735,101.6,251.2625,5.63895,22.2766,9.16e-06
2023-12-04 00:00:00+00:00,41901.1625,2234.075,6.168415,15.5275,0.09008405,72.6551,99.11,246.831,5.6424,22.7624,9.125e-06
2023-12-05 00:00:00+00:00,43658.329,2270.82,6.081465,15.575,0.0996247,72.91375,96.8081,245.7065,5.85443,25.557,9.75e-06
2023-12-06 00:00:00+00:00,43991.775,2263.932,6.16195,15.645,0.09749135,74.275,98.5463,248.8,6.1787,26.97075,9.83e-06
2023-12-07 00:00:00+00:00,43431.125,2375.6945,6.347,15.9654,0.09718,74.713,100.144,248.27,6.29154,26.995,1.001e-05
2023-12-08 00:00:00+00:00,44291.8165,2367.535,6.679,17.0089,0.102765,78.6592,101.05,255.815,7.412825,31.961,1.033e-05
2023-12-09 00:00:00+00:00,43889.92,2357.6525,6.718635,16.415,0.10064,77.66,99.59165,254.85,7.279155,33.45625,1.027e-05
2023-12-10 00:00:00+00:00,42023.6735,2251.4575,6.2896,15.14735,0.09885965,73.718,92.4745,235.78,6.80295,35.96725,9.795e-06
2023-12-11 00:00:00+00:00,41545.0935,2224.49,6.21063,14.838,0.0954561,72.71795,92.18735,232.7,6.98898,41.9446,9.615e-06
2023-12-12 00:00:00+00:00,40991.47,2172.2635,6.0799,14.18765,0.0919825,71.3966,90.32045,227.175,6.79357,35.379,9.34e-06
2023-12-13 00:00:00+00:00,42809.2855,2261.374,6.32625,14.82445,0.09668,73.0945,94.8385,233.881,7.388015,38.4622,1.0055e-05
2023-12-14 00:00:00+00:00,42618.78,2266.325,6.15017,14.9083,0.096175,71.881,105.5285,234.095,7.2872676935,39.491,9.865e-06
2023-12-15 00:00:00+00:00,42229.51,2246.108,6.15155,14.50065,0.0941027095,71.91605,107.225,230.5,7.141225,42.0273,9.87e-06
2023-12-16 00:00:00+00:00,41851.425,2212.136,6.129595,14.145,0.094798,72.3936,103.02,227.602,7.0279,42.47895,1.0815e-05
2023-12-17 00:00:00+00:00,40987.048,2166.051,5.9065,13.84225,0.091635,70.203,96.9485,223.893,6.68642,39.59395,1.0035e-05
2023-12-18 00:00:00+00:00,42961.755,2243.8445,5.99593,14.5945,0.09280745,71.3015,106.25,229.574,6.92592,40.84345,1.0445e-05
2023-12-19 00:00:00+00:00,42695.385,2208.195,5.938,14.245,0.0906905,70.97915,101.267,227.412,6.843335,40.945,1.02e-05
2023-12-20 00:00:00+00:00,43520.5,2194.077,5.887525,14.2455,0.091041,69.588,99.263,229.465,7.22184,44.1905,1.0215e-05
2023-12-21 00:00:00+00:00,44154.81,2259.5115,6.22855,15.53015,0.09376435,70.9615,100.0155,233.7745,8.15143,47.98715,1.059e-05
2023-12-22 00:00:00+00:00,43636.4395,2291.7335,6.21585,15.10725,0.09333605,72.2734,97.77755,233.428,7.75325,44.5632,1.0755e-05
2023-12-23 00:00:00+00:00,43501.845,2286.2,6.510365,15.4825,0.093095,72.1586,100.767,231.49,8.4895,47.245,1.0835e-05
2023-12-24 00:00:00+00:00,43247.684,2286.476,6.877385,15.5329,0.09265515,71.59165,103.6565,231.553,9.2053,47.60055,1.0765e-05
2023-12-25 00:00:00+00:00,42791.7125,2235.66,6.7095,15.2205,0.0923865,71.3999,99.602,229.885,9.06505,46.16775,1.0645e-05
2023-12-26 00:00:00+00:00,42435.15,2225.7085,7.17395,14.9096,0.090876,73.6795,100.53,233.845,8.613425,43.675,1.0465e-05
2023-12-27 00:00:00+00:00,43251.149,2390.66,7.419995,17.4601,0.09379735,76.32395,126.21,269.5415,8.566895,41.8431,1.0855e-05
2023-12-28 00:00:00+00:00,42706.025,2359.285,7.758255,15.94895,0.092383,76.8275,113.15,255.8745,8.43735,41.364,1.06e-05
2023-12-29 00:00:00+00:00,42077.97,2306.974,7.77299,15.47,0.09051535,73.9337,116.496,276.9795,8.447695,39.79,1.0545e-05
2023-12-30 00:00:00+00:00,42206.355,2280.7835,7.35961,15.01195,0.0900625,72.8351,112.79,263.2515,8.2772,39.609,1.0445e-05
2023-12-31 00:00:00+00:00,42388.675,2279.05,7.22825,14.9215,0.08913825,72.506,108.77,257.2,8.1398,38.2149,1.0295e-05
2024-01-01 00:00:00+00:00,45244.4435,2380.1305,7.62875,15.81,0.09291665,74.7165,116.2835,268.445,8.6565,42.8032,1.0745e-05
2024-01-02 00:00:00+00:00,45205.215,2378.65,7.3315,15.5215,0.09159395,73.289,112.0525,259.2835,8.52495,40.8205,1.0615e-05
